imp#,employee,team,turnover,male,empower,lmx,jobsat,climate,cohesion,empower[team],empower$lmx[team],lmx.mean[team]
1,1,1,0,1,32,11,3,18,3.5000,1.5868,0.9674,9.1571
1,2,1,1,1,34.3339,13,4,18,3.5000,1.5868,0.9674,9.1571
1,3,1,1,1,30,9,4,18,3.5000,1.5868,0.9674,9.1571
1,4,1,1,1,29,8,3,18,3.5000,1.5868,0.9674,9.1571
1,5,1,1,0,26,7,4,18,3.5000,1.5868,0.9674,9.1571
1,6,1,999,0,36.7325,10,999,18,3.5000,1.5868,0.9674,9.1571
1,7,2,0,0,31.3488,11,5,17,4,0.3765,-0.1085,9.6251
1,8,2,0,1,22,9,3,17,4,0.3765,-0.1085,9.6251
1,9,2,0,0,23,5.7041,2,17,4,0.3765,-0.1085,9.6251
1,10,2,0,0,32,9,4,17,4,0.3765,-0.1085,9.6251
1,11,2,0,1,29.2505,12,5,17,4,0.3765,-0.1085,9.6251
1,12,2,1,0,36,13,4,17,4,0.3765,-0.1085,9.6251
1,13,3,0,0,16,0,3,13.6356,6,1.3426,0.5158,8.8583
1,14,3,1,0,25,8,3,13.6356,6,1.3426,0.5158,8.8583
1,15,3,0,1,31,15,3,13.6356,6,1.3426,0.5158,8.8583
1,16,3,0,1,27,9,6,13.6356,6,1.3426,0.5158,8.8583
1,17,3,0,1,30,9,4,13.6356,6,1.3426,0.5158,8.8583
1,18,3,0,1,23,7.0915,3,13.6356,6,1.3426,0.5158,8.8583
1,19,4,0,0,30.4793,13,3,20,4.5000,1.1451,0.1002,10.0937
1,20,4,1,0,26,11,5,20,4.5000,1.1451,0.1002,10.0937
1,21,4,0,1,27,8,4,20,4.5000,1.1451,0.1002,10.0937
1,22,4,1,1,42,10,4,20,4.5000,1.1451,0.1002,10.0937
1,23,4,0,1,24,8,5,20,4.5000,1.1451,0.1002,10.0937
1,24,4,0,0,37,16,6,20,4.5000,1.1451,0.1002,10.0937
1,25,5,0,0,33,12,4,23,6.5000,-0.5078,-0.4209,9.9246
1,26,5,0,1,37,13,4,23,6.5000,-0.5078,-0.4209,9.9246
1,27,5,0,1,29,8.2570,4,23,6.5000,-0.5078,-0.4209,9.9246
1,28,5,0,1,32,9,5,23,6.5000,-0.5078,-0.4209,9.9246
1,29,5,0,0,24,6,4,23,6.5000,-0.5078,-0.4209,9.9246
1,30,5,1,0,31,6,3,23,6.5000,-0.5078,-0.4209,9.9246
1,31,6,1,0,21,2,3,20.6751,8.2177,1.5233,0.5814,9.8864
1,32,6,1,0,29,8,3,20.6751,8.2177,1.5233,0.5814,9.8864
1,33,6,0,1,32.3743,12,5,20.6751,8.2177,1.5233,0.5814,9.8864
1,34,6,0,1,25,9,5,20.6751,8.2177,1.5233,0.5814,9.8864
1,35,6,999,0,31.6212,12,999,20.6751,8.2177,1.5233,0.5814,9.8864
1,36,6,1,1,36,13.0068,5,20.6751,8.2177,1.5233,0.5814,9.8864
1,37,7,1,1,29,4,2,12,2,0.3132,-0.5986,7.4406
1,38,7,0,1,26,10.7081,4,12,2,0.3132,-0.5986,7.4406
1,39,7,1,0,26,6,2,12,2,0.3132,-0.5986,7.4406
1,40,7,0,1,26,10,4,12,2,0.3132,-0.5986,7.4406
1,41,7,1,1,31,9,4,12,2,0.3132,-0.5986,7.4406
1,42,7,0,0,33,8,4,12,2,0.3132,-0.5986,7.4406
1,43,8,999,0,25.3604,8,999,16,3.5000,-0.7794,-0.4909,8.8586
1,44,8,0,0,26,12,5,16,3.5000,-0.7794,-0.4909,8.8586
1,45,8,0,1,25,5,5,16,3.5000,-0.7794,-0.4909,8.8586
1,46,8,999,1,27.4918,9,999,16,3.5000,-0.7794,-0.4909,8.8586
1,47,8,0,1,29,5,3,16,3.5000,-0.7794,-0.4909,8.8586
1,48,8,0,0,27,13.0867,4,16,3.5000,-0.7794,-0.4909,8.8586
1,49,9,0,0,27,7,5,23,4,1.5640,0.2235,10.6407
1,50,9,0,0,28,9,5,23,4,1.5640,0.2235,10.6407
1,51,9,0,0,26,7,4,23,4,1.5640,0.2235,10.6407
1,52,9,0,1,29,12,4,23,4,1.5640,0.2235,10.6407
1,53,9,1,1,28,10,4,23,4,1.5640,0.2235,10.6407
1,54,9,0,0,25,9.1613,5,23,4,1.5640,0.2235,10.6407
1,55,10,1,1,33,8,4,24,6.5000,0.2985,-0.2189,9.4673
1,56,10,1,0,27,9,3,24,6.5000,0.2985,-0.2189,9.4673
1,57,10,0,1,29,6,4,24,6.5000,0.2985,-0.2189,9.4673
1,58,10,0,1,36,14,4,24,6.5000,0.2985,-0.2189,9.4673
1,59,10,0,0,24,8.1547,4,24,6.5000,0.2985,-0.2189,9.4673
1,60,10,0,1,22,5,3,24,6.5000,0.2985,-0.2189,9.4673
1,61,11,1,0,28,8,3,15,5,0.3967,0.5184,7.8370
1,62,11,0,1,26,7,6,15,5,0.3967,0.5184,7.8370
1,63,11,0,0,30,11,4,15,5,0.3967,0.5184,7.8370
1,64,11,0,1,28,8,4,15,5,0.3967,0.5184,7.8370
1,65,11,0,1,28,8,3,15,5,0.3967,0.5184,7.8370
1,66,11,1,0,25,5,3,15,5,0.3967,0.5184,7.8370
1,67,12,0,1,36,10,5,18,6,-0.3068,0.0491,8.6509
1,68,12,0,1,32,9.3541,3,18,6,-0.3068,0.0491,8.6509
1,69,12,0,0,30,11,4,18,6,-0.3068,0.0491,8.6509
1,70,12,0,0,30,12,7,18,6,-0.3068,0.0491,8.6509
1,71,12,1,0,34,9,3,18,6,-0.3068,0.0491,8.6509
1,72,12,999,1,23.5344,7,999,18,6,-0.3068,0.0491,8.6509
1,73,13,0,1,24,5,5,19,4.5000,-0.0068,-0.1067,8.7707
1,74,13,0,1,23,2,4,19,4.5000,-0.0068,-0.1067,8.7707
1,75,13,0,0,25,10,4,19,4.5000,-0.0068,-0.1067,8.7707
1,76,13,1,0,27,11,4,19,4.5000,-0.0068,-0.1067,8.7707
